Umur (bulan),Jenis Kelamin,Tinggi Badan (cm)
0.7,perempuan,0.7431513553378416
0.6166666666666667,perempuan,0.5829050770309198
0.9833333333333333,laki-laki,0.8988516399339287
0.7833333333333333,laki-laki,0.769290819175141
0.4166666666666667,perempuan,0.615863531434471
0.8833333333333333,laki-laki,0.8011127751509836
0.45,laki-laki,0.6113175377236363
0.16666666666666666,perempuan,0.2862789873989582
0.03333333333333333,perempuan,0.3283002196307341
0.31666666666666665,perempuan,0.4931217012419352
0.8166666666666667,laki-laki,0.5556291147659119
0.8666666666666667,perempuan,0.7249673804945028
0.16666666666666666,perempuan,0.4715282311154706
0.36666666666666664,laki-laki,0.5476736257719511
0.9666666666666667,perempuan,0.7567893364703454
0.36666666666666664,perempuan,0.48175671696484856
0.65,perempuan,0.7090564025065816
0.5166666666666666,laki-laki,0.45107125941671466
0.4166666666666667,perempuan,0.5794955817477937
0.03333333333333333,laki-laki,0.15893484507647448
0.2833333333333333,laki-laki,0.5454006289165337
0.8,perempuan,0.6033620487296757
0.5166666666666666,laki-laki,0.6670059606813611
0.5166666666666666,perempuan,0.6249555188561403
0.9166666666666666,laki-laki,0.7624718286088888
0.7333333333333333,perempuan,0.554492616338203
0.45,laki-laki,0.7136023962174162
0.3833333333333333,laki-laki,0.6442759921271878
0.016666666666666666,perempuan,0.19269618240001962
0.4666666666666667,laki-laki,0.49880419338047854
0.16666666666666666,laki-laki,0.2374095550074855
0.2,laki-laki,0.4169763065854547
0.03333333333333333,laki-laki,0.3136635218763921
0.7,perempuan,0.6783709449584477
0.06666666666666667,laki-laki,0.26695851412791083
0.016666666666666666,perempuan,0.10851490676577225
0.6333333333333333,perempuan,0.5385816383502818
0.11666666666666667,perempuan,0.17149264620038296
0.18333333333333332,perempuan,0.4317507861456673
0.8333333333333334,laki-laki,0.6420029952717704
0.0,perempuan,0.1582380952405944
0.9,perempuan,0.935219589620606
0.25,perempuan,0.5488101241996598
0.5166666666666666,laki-laki,0.7249673804945028
0.21666666666666667,laki-laki,0.4192493034408721
0.7833333333333333,laki-laki,0.8590741949641253
0.8,perempuan,0.8113412610003615
0.75,laki-laki,0.8397537216930783
0.95,perempuan,0.8658931855303774
0.8333333333333334,laki-laki,0.568130597470707
0.9833333333333333,laki-laki,0.8545282012532908
0.3833333333333333,perempuan,0.673824951247613
0.016666666666666666,perempuan,0.1609913919827528
0.5833333333333334,perempuan,0.5840415754586284
0.8666666666666667,perempuan,0.5499466226273685
0.08333333333333333,laki-laki,0.3556053914891867
0.9166666666666666,laki-laki,0.9465845738976927
0.8333333333333334,laki-laki,0.8431632169762041
0.45,laki-laki,0.663596465398235
0.016666666666666666,perempuan,0.13021537776950465
0.2833333333333333,laki-laki,0.3396944135012655
0.6166666666666667,perempuan,0.6181365282898884
0.8333333333333334,perempuan,0.8011127751509836
0.0,laki-laki,0.16368092624163777
0.3333333333333333,laki-laki,0.554492616338203
0.0,laki-laki,0.04020820293935834
0.6333333333333333,perempuan,0.7283768757776289
0.18333333333333332,perempuan,0.39765583331440735
0.23333333333333334,laki-laki,0.4249317955794154
0.6833333333333333,perempuan,0.5465371273442424
0.4666666666666667,laki-laki,0.5954065597357151
0.03333333333333333,perempuan,0.24122960778645164
0.03333333333333333,perempuan,0.16073785128195683
0.43333333333333335,perempuan,0.44311577042275396
0.0,laki-laki,0.21102002633294592
0.3,laki-laki,0.4556172531275492
0.03333333333333333,perempuan,0.27863966438561827
0.016666666666666666,laki-laki,0.29087520681281387
0.0,laki-laki,0.11864085289850357
0.03333333333333333,laki-laki,0.23758413470243478
0.6833333333333333,laki-laki,0.5056231839467306
0.65,perempuan,0.5294896509286124
0.8333333333333334,perempuan,0.8442997154039128
0.8833333333333333,perempuan,0.6317745094223922
0.9666666666666667,perempuan,0.7261038789222117
0.6833333333333333,perempuan,0.8386172232653694
0.0,laki-laki,0.18616580776422276
0.5166666666666666,perempuan,0.6204095251453056
0.8,perempuan,0.7147388946451251
0.1,perempuan,0.38856384589273807
0.5333333333333333,perempuan,0.5272166540731952
0.7166666666666667,laki-laki,0.574949588036959
0.6666666666666666,laki-laki,0.7067834056511643
0.8333333333333334,laki-laki,0.8670296839580861
0.45,laki-laki,0.4476617641335887
0.23333333333333334,laki-laki,0.5044866855190219
0.23333333333333334,laki-laki,0.4953946980973525
0.35,laki-laki,0.4556172531275492
0.4166666666666667,perempuan,0.43743327828421064
0.03333333333333333,laki-laki,0.39744235748834267
0.48333333333333334,laki-laki,0.48175671696484856
0.8333333333333334,perempuan,0.8136142578557787
0.5333333333333333,perempuan,0.6192730267175971
0.4666666666666667,laki-laki,0.5203976635069432
0.8333333333333334,perempuan,0.6170000298621797
0.08333333333333333,perempuan,0.18854012261601294
0.03333333333333333,laki-laki,0.0934150950751339
0.35,perempuan,0.5897240675971719
0.75,perempuan,0.5465371273442424
0.016666666666666666,laki-laki,0.2467621774856249
0.016666666666666666,laki-laki,0.14043097681265715
0.5833333333333334,laki-laki,0.7499703459040935
0.2833333333333333,laki-laki,0.38288135375419474
0.6666666666666666,laki-laki,0.5272166540731952
0.8666666666666667,perempuan,0.6010890518742585
0.5833333333333334,laki-laki,0.6670059606813611
0.016666666666666666,perempuan,0.04815636926576439
0.15,perempuan,0.3010534669591708
0.55,laki-laki,0.6442759921271878
0.7666666666666666,laki-laki,0.8215697468497395
0.8666666666666667,perempuan,0.7636083270365975
0.6,laki-laki,0.7806558034522276
0.3,laki-laki,0.6079080424405104
0.25,laki-laki,0.5624481053321638
0.6666666666666666,perempuan,0.6181365282898884
0.05,laki-laki,0.36469737891085596
1.0,perempuan,0.673824951247613
0.9,laki-laki,0.6420029952717704
0.18333333333333332,perempuan,0.27150450783874547
0.16666666666666666,laki-laki,0.43629677985650206
0.03333333333333333,perempuan,0.37543317189869774
0.8166666666666667,perempuan,0.5897240675971719
0.21666666666666667,perempuan,0.30218996538687937
0.21666666666666667,perempuan,0.27264100626645416
0.9666666666666667,laki-laki,0.8397537216930783
0.7666666666666666,laki-laki,0.6885994308078255
0.9,perempuan,0.748833847476385
0.8,perempuan,0.8079317657172355
0.06666666666666667,laki-laki,0.3396944135012655
0.13333333333333333,laki-laki,0.2680950125556195
0.0,perempuan,0.22297190364398833
0.55,perempuan,0.7511068443318022
0.0,perempuan,0.13673810638541584
0.65,perempuan,0.7738368128859755
0.03333333333333333,perempuan,0.33503680609684505
0.48333333333333334,perempuan,0.7124658977897077
0.7333333333333333,laki-laki,0.5078961808021479
0.8166666666666667,laki-laki,0.7454243521932588
0.0,perempuan,0.18016332333692808
0.1,perempuan,0.28286949211583223
0.6166666666666667,laki-laki,0.4715282311154706
0.7,perempuan,0.8227062452774482
0.55,laki-laki,0.626092017283849
0.05,laki-laki,0.12035021695349302
0.0,perempuan,0.22078628292139746
0.06666666666666667,laki-laki,0.2635490188447849
0.8,laki-laki,0.8204332484220308
0.016666666666666666,laki-laki,0.33305412731472117
0.9666666666666667,laki-laki,0.8227062452774482
0.6166666666666667,laki-laki,0.47607422482630535
0.7833333333333333,laki-laki,0.5908605660248804
0.6166666666666667,laki-laki,0.6192730267175971
0.35,perempuan,0.4465252657058799
0.03333333333333333,laki-laki,0.07055691186902302
0.7166666666666667,laki-laki,0.7442878537655503
0.4166666666666667,laki-laki,0.5010771902358958
0.7666666666666666,perempuan,0.5499466226273685
0.9333333333333333,perempuan,0.7908842893016054
0.3,laki-laki,0.35219589620606073
0.8166666666666667,laki-laki,0.6931454245186602
0.6666666666666666,perempuan,0.6488219858380223
0.0,laki-laki,0.2223227967816478
0.6666666666666666,perempuan,0.7840652987353535
0.016666666666666666,perempuan,0.1788593912097859
0.0,laki-laki,0.20317009940335984
0.7,laki-laki,0.8454362138316215
0.45,laki-laki,0.41243031287461995
0.4166666666666667,laki-laki,0.5874510707417545
0.45,perempuan,0.5306261493563212
0.11666666666666667,laki-laki,0.3703798710493993
0.9666666666666667,perempuan,0.6908724276632429
0.9833333333333333,perempuan,0.7942937845847317
0.9333333333333333,laki-laki,0.6817804402415736
0.08333333333333333,laki-laki,0.23968255186290288
0.0,perempuan,0.08185466271892639
0.9,perempuan,0.6885994308078255
0.9166666666666666,laki-laki,0.9363560880483147
0.06666666666666667,laki-laki,0.1214867153812017
0.8166666666666667,laki-laki,0.687462932380117
0.36666666666666664,perempuan,0.4465252657058799
0.9833333333333333,perempuan,0.9568130597470706
0.08333333333333333,perempuan,0.3317389245073048
0.43333333333333335,laki-laki,0.7101929009342903
0.03333333333333333,laki-laki,0.32351889029407643
1.0,perempuan,0.7272403773499202
0.6666666666666666,perempuan,0.5738130896092505
0.5666666666666667,perempuan,0.7511068443318022
0.0,perempuan,0.21374757160175983
0.6666666666666666,laki-laki,0.8352077279822435
0.7666666666666666,laki-laki,0.5249436572177779
0.5833333333333334,laki-laki,0.7204213867836683
0.0,perempuan,0.12283832651096693
0.9666666666666667,laki-laki,0.6351840047055185
0.8666666666666667,perempuan,0.7181483899282509
0.5333333333333333,perempuan,0.7704273176028494
0.16666666666666666,perempuan,0.5044866855190219
0.9333333333333333,laki-laki,0.6749614496753217
0.9666666666666667,perempuan,0.5794955817477937
0.5166666666666666,laki-laki,0.7511068443318022
0.48333333333333334,laki-laki,0.4419792719950454
0.4,laki-laki,0.4851662122479746
0.65,perempuan,0.7567893364703454
0.6333333333333333,perempuan,0.7954302830124401
0.65,perempuan,0.6658694622536522
0.5666666666666667,laki-laki,0.7204213867836683
0.05,laki-laki,0.3226469370856355
0.3333333333333333,laki-laki,0.41356681130232875
0.05,perempuan,0.33514841979043075
0.6166666666666667,laki-laki,0.5044866855190219
0.5166666666666666,laki-laki,0.660186970115109
0.48333333333333334,laki-laki,0.6681424591090696
0.06666666666666667,laki-laki,0.23968255186290288
0.35,laki-laki,0.6306380109946838
0.03333333333333333,perempuan,0.07693306596538185
0.016666666666666666,laki-laki,0.019727956272116765
0.1,laki-laki,0.17717513833892629
0.43333333333333335,laki-laki,0.46584573897692727
0.65,laki-laki,0.8204332484220308
0.4166666666666667,perempuan,0.4385697767119192
0.3,perempuan,0.4885757075311006
0.6166666666666667,perempuan,0.731786371060755
0.25,perempuan,0.5669940990429986
0.6,laki-laki,0.5965430581634238
0.3833333333333333,laki-laki,0.5783590833200852
0.2833333333333333,perempuan,0.3760623631879426
0.016666666666666666,laki-laki,0.027503415732663627
0.9,perempuan,0.6238190204284318
0.7333333333333333,laki-laki,0.6010890518742585
0.6,laki-laki,0.687462932380117
0.0,perempuan,0.226337385021953
0.13333333333333333,perempuan,0.2135430880256035
0.0,laki-laki,0.19570492672852158
0.6,perempuan,0.7840652987353535
0.15,perempuan,0.391973341175864
0.0,perempuan,0.1681854239143974
0.65,laki-laki,0.4953946980973525
0.8666666666666667,perempuan,0.7113293993619988
1.0,perempuan,0.7931572861570227
0.016666666666666666,laki-laki,0.11578555593057538
0.03333333333333333,perempuan,0.30240590941677903
0.8833333333333333,perempuan,0.6613234685428176
0.48333333333333334,laki-laki,0.6340475062778096
0.95,perempuan,0.8908961509399681
0.15,perempuan,0.3556053914891867
1.0,perempuan,0.9897715141506219
0.85,laki-laki,0.7715638160305583
0.7,laki-laki,0.8261157405605742
0.7333333333333333,laki-laki,0.6931454245186602
0.7333333333333333,laki-laki,0.8033857720064009
0.9833333333333333,perempuan,0.9488575707531101
0.85,laki-laki,0.7795193050245187
0.7166666666666667,laki-laki,0.8136142578557787
0.16666666666666666,perempuan,0.43743327828421064
0.85,perempuan,0.6590504716874003
0.6,laki-laki,0.7408783584824242
0.6833333333333333,perempuan,0.7783828065968103
0.9166666666666666,laki-laki,0.5817685786032111
0.0,laki-laki,0.04266449890824542
0.21666666666666667,laki-laki,0.5385816383502818
0.7833333333333333,perempuan,0.5829050770309198
0.3333333333333333,laki-laki,0.5647211021875812
0.8333333333333334,perempuan,0.602225550301967
0.45,perempuan,0.5022136886636046
0.5,perempuan,0.6476854874103136
0.4,laki-laki,0.3999288301698247
0.7833333333333333,laki-laki,0.89771514150622
0.7666666666666666,perempuan,0.7147388946451251
0.8833333333333333,laki-laki,0.7056469072234556
0.08333333333333333,perempuan,0.31810094337480077
0.0,perempuan,0.17967115270761547
0.5,laki-laki,0.6408664968440617
0.43333333333333335,perempuan,0.5794955817477937
0.43333333333333335,perempuan,0.391973341175864
0.08333333333333333,perempuan,0.1362611949414143
0.95,perempuan,0.5794955817477937
0.8666666666666667,perempuan,0.6579139732596918
0.36666666666666664,perempuan,0.48402971382026583
0.65,laki-laki,0.6533679795488571
0.5,perempuan,0.6783709449584477
0.43333333333333335,perempuan,0.673824951247613
0.55,laki-laki,0.4544807546998406
0.8833333333333333,perempuan,0.8192967499943221
0.65,perempuan,0.626092017283849
0.7833333333333333,perempuan,0.707919904078873
0.5166666666666666,laki-laki,0.7658813238920149
0.85,perempuan,0.6181365282898884
0.8666666666666667,laki-laki,0.6329110078501011
0.48333333333333334,laki-laki,0.6010890518742585
0.4,laki-laki,0.4556172531275492
0.03333333333333333,perempuan,0.12504714829703034
0.11666666666666667,laki-laki,0.24195554871832015
0.9833333333333333,laki-laki,0.8761216713797554
0.4,perempuan,0.5613116069044551
0.3333333333333333,perempuan,0.6079080424405104
0.5166666666666666,laki-laki,0.701100913512621
0.9,perempuan,0.5783590833200852
0.4,perempuan,0.48971220595880915
0.6666666666666666,perempuan,0.5851780738863371
0.016666666666666666,laki-laki,0.20712492919342673
0.6333333333333333,laki-laki,0.7170118915005422
0.6333333333333333,perempuan,0.7988397782955662
0.18333333333333332,laki-laki,0.4033383254529507
0.16666666666666666,laki-laki,0.3078724575254227
0.45,laki-laki,0.409020817591494
0.0,perempuan,0.07401876677041652
0.1,perempuan,0.4385697767119192
0.95,perempuan,0.6772344465307388
0.55,laki-laki,0.6090445408682189
0.016666666666666666,laki-laki,0.047485910854961455
0.2833333333333333,laki-laki,0.4419792719950454
0.26666666666666666,laki-laki,0.4328872845733759
0.9333333333333333,perempuan,0.8431632169762041
0.8,perempuan,0.5408546352056991
0.03333333333333333,laki-laki,0.13425592206506487
0.03333333333333333,laki-laki,0.2175828026456874
0.65,laki-laki,0.7954302830124401
0.6166666666666667,perempuan,0.7363323647715895
0.5833333333333334,perempuan,0.6476854874103136
0.21666666666666667,laki-laki,0.3851543506096121
0.05,laki-laki,0.391973341175864
0.1,laki-laki,0.3169644449470922
0.016666666666666666,perempuan,0.13131368453795889
0.26666666666666666,laki-laki,0.5351721430671558
0.7333333333333333,perempuan,0.8272522389882827
0.08333333333333333,laki-laki,0.313554949663966
0.95,perempuan,0.6204095251453056
0.6833333333333333,laki-laki,0.7954302830124401
0.6,laki-laki,0.5579021116213291
0.95,laki-laki,0.9272641006266452
0.75,perempuan,0.7181483899282509
0.016666666666666666,perempuan,0.30793247384019895
0.9833333333333333,laki-laki,0.7886112924461882
0.48333333333333334,laki-laki,0.5340356446394472
0.43333333333333335,perempuan,0.4726647295431792
0.4166666666666667,laki-laki,0.673824951247613
0.05,perempuan,0.1987686084653909
0.31666666666666665,laki-laki,0.636320503133227
0.45,laki-laki,0.5590386100490378
0.45,perempuan,0.5794955817477937
0.7333333333333333,laki-laki,0.8136142578557787
0.3333333333333333,laki-laki,0.6079080424405104
0.7333333333333333,laki-laki,0.8090682641449441
0.9833333333333333,laki-laki,0.7329228694884636
0.7333333333333333,perempuan,0.5044866855190219
0.9166666666666666,perempuan,0.6670059606813611
0.4166666666666667,perempuan,0.473801227970888
0.6333333333333333,perempuan,0.7908842893016054
0.5833333333333334,perempuan,0.7431513553378416
0.3833333333333333,perempuan,0.602225550301967
0.8166666666666667,perempuan,0.6044985471573844
0.0,laki-laki,0.1714326062331868
0.7666666666666666,laki-laki,0.731786371060755
0.55,perempuan,0.43629677985650206
0.5,laki-laki,0.6238190204284318
0.0,perempuan,0.04712450403566226
0.06666666666666667,laki-laki,0.21922558016414684
0.6166666666666667,perempuan,0.6101810392959278
0.9166666666666666,perempuan,0.9158991163495586
0.75,laki-laki,0.6147270330067623
0.7333333333333333,perempuan,0.7192848883559596
0.8666666666666667,perempuan,0.8749851729520467
0.6,laki-laki,0.5760860864646679
0.5,perempuan,0.6897359292355344
0.9833333333333333,laki-laki,0.98295252358437
0.016666666666666666,laki-laki,0.16993175322507215
0.03333333333333333,laki-laki,0.06623894662330365
0.7333333333333333,laki-laki,0.6090445408682189
0.16666666666666666,laki-laki,0.2635490188447849
0.03333333333333333,laki-laki,0.3747884090915621
0.7,perempuan,0.7749733113136842
0.6166666666666667,laki-laki,0.673824951247613
0.8833333333333333,perempuan,0.6806439418138651
0.75,laki-laki,0.5397181367779905
0.5,laki-laki,0.5238071587900691
0.7666666666666666,perempuan,0.7033739103680384
0.3,perempuan,0.4863027106756832
0.016666666666666666,perempuan,0.1708463492621889
0.8,perempuan,0.5340356446394472
0.8666666666666667,perempuan,0.7954302830124401
0.5,perempuan,0.42720479243483256
0.36666666666666664,laki-laki,0.48175671696484856
0.8833333333333333,laki-laki,0.873848674524338
0.16666666666666666,laki-laki,0.2987804701037534
0.8,perempuan,0.7067834056511643
0.21666666666666667,perempuan,0.5215341619346519
0.25,perempuan,0.4192493034408721
0.9666666666666667,perempuan,0.7226943836390854
0.6,laki-laki,0.5817685786032111
0.11666666666666667,perempuan,0.2624125204170762
0.75,perempuan,0.5328991462117385
0.8666666666666667,laki-laki,0.591997064452589
0.9,laki-laki,0.9249911037712281
0.23333333333333334,perempuan,0.32037394023021815
0.03333333333333333,perempuan,0.2553600171015521
0.5166666666666666,laki-laki,0.4612997452660925
0.06666666666666667,laki-laki,0.22831756758581623
0.6,laki-laki,0.473801227970888
0.4166666666666667,perempuan,0.660186970115109
0.5833333333333334,laki-laki,0.473801227970888
0.9166666666666666,laki-laki,0.7670178223197236
0.6833333333333333,laki-laki,0.7942937845847317
0.8333333333333334,laki-laki,0.6749614496753217
0.4166666666666667,laki-laki,0.4794837201094313
0.9666666666666667,perempuan,0.9340830911928973
0.9666666666666667,perempuan,0.7363323647715895
0.8166666666666667,perempuan,0.6590504716874003
0.6833333333333333,laki-laki,0.5783590833200852
0.7833333333333333,perempuan,0.8102047625726528
0.2,perempuan,0.2987804701037534
0.5333333333333333,laki-laki,0.6044985471573844
0.7333333333333333,laki-laki,0.5874510707417545
0.2833333333333333,perempuan,0.5579021116213291
0.7833333333333333,laki-laki,0.5238071587900691
0.6,laki-laki,0.802249273578692
0.4666666666666667,perempuan,0.40561132230836805
0.23333333333333334,laki-laki,0.391973341175864
0.13333333333333333,laki-laki,0.3146914480916748
0.6833333333333333,perempuan,0.6317745094223922
0.9,laki-laki,0.626092017283849
0.3333333333333333,laki-laki,0.6147270330067623
0.9,perempuan,0.8693026808135035
0.2,laki-laki,0.456753751555258
0.6,laki-laki,0.5090326792298565
0.8666666666666667,perempuan,0.7226943836390854
0.9333333333333333,perempuan,0.9102166242110153
0.7166666666666667,laki-laki,0.8215697468497395
0.26666666666666666,laki-laki,0.3987923317421159
1.0,perempuan,0.9261276021989368
0.03333333333333333,laki-laki,0.14114762488354704
0.6333333333333333,perempuan,0.639729998416353
0.6833333333333333,perempuan,0.5556291147659119
0.13333333333333333,perempuan,0.4556172531275492
0.5166666666666666,laki-laki,0.6056350455850931
0.016666666666666666,perempuan,0.23576187356473655
0.23333333333333334,perempuan,0.3703798710493993
0.16666666666666666,laki-laki,0.23172706286894218
0.03333333333333333,laki-laki,0.3310739828745851
1.0,laki-laki,0.8602106933918342
0.0,laki-laki,0.142949912797544
0.8,laki-laki,0.5647211021875812
0.65,perempuan,0.769290819175141
0.35,laki-laki,0.6522314811211484
0.36666666666666664,laki-laki,0.6385934999886443
0.7833333333333333,laki-laki,0.6408664968440617
0.13333333333333333,perempuan,0.1987686084653909
0.3833333333333333,perempuan,0.6204095251453056
0.5333333333333333,laki-laki,0.4101573160192026
0.25,laki-laki,0.5579021116213291
0.4,laki-laki,0.6488219858380223
0.5666666666666667,perempuan,0.46016324683838394
0.016666666666666666,laki-laki,0.32490997968284796
0.55,laki-laki,0.5954065597357151
0.48333333333333334,perempuan,0.43061428771795873
0.6833333333333333,laki-laki,0.5613116069044551
0.6,perempuan,0.649958484265731
0.75,laki-laki,0.8102047625726528
0.03333333333333333,perempuan,0.3829998124034374
0.6166666666666667,laki-laki,0.7863382955907708
0.03333333333333333,perempuan,0.07160355513062144
0.6,perempuan,0.6749614496753217
0.31666666666666665,laki-laki,0.470391732687762
0.1,perempuan,0.19422261475455627
0.08333333333333333,perempuan,0.4169763065854547
0.0,laki-laki,0.1771761268160642
0.1,perempuan,0.21240658959789493
0.9333333333333333,laki-laki,0.8272522389882827
0.85,perempuan,0.8829406619460075
0.8,perempuan,0.5965430581634238
0.2,laki-laki,0.2908249811097927
0.75,laki-laki,0.8442997154039128
0.2833333333333333,perempuan,0.4851662122479746
0.7166666666666667,perempuan,0.6692789575367785
0.75,laki-laki,0.6647329638259437
0.3,perempuan,0.35787838834460406
0.13333333333333333,laki-laki,0.2146795864533122
0.75,perempuan,0.6454124905548962
0.7666666666666666,laki-laki,0.6556409764042744
0.016666666666666666,perempuan,0.3091012340177588
0.6333333333333333,perempuan,0.636320503133227
0.6,laki-laki,0.6374570015609357
0.03333333333333333,laki-laki,0.21042114341263352
0.5,perempuan,0.5476736257719511
0.6,laki-laki,0.6545044779765655
0.8,perempuan,0.6010890518742585
0.3833333333333333,laki-laki,0.38060835689877737
0.11666666666666667,laki-laki,0.32719293079647005
0.1,perempuan,0.16581015406183963
0.5166666666666666,laki-laki,0.5817685786032111
0.45,laki-laki,0.5385816383502818
0.7666666666666666,laki-laki,0.5317626477840298
0.2833333333333333,laki-laki,0.40561132230836805
0.7833333333333333,perempuan,0.8727121760966293
1.0,perempuan,0.9761335330181179
0.5666666666666667,laki-laki,0.7533798411872196
0.85,perempuan,0.8227062452774482
0.3333333333333333,perempuan,0.4419792719950454
0.7,laki-laki,0.5669940990429986
0.7333333333333333,perempuan,0.6579139732596918
0.9666666666666667,perempuan,0.8442997154039128
0.7833333333333333,laki-laki,0.8431632169762041
0.4,perempuan,0.391973341175864
0.13333333333333333,perempuan,0.2385460534351942
0.5833333333333334,perempuan,0.7329228694884636
1.0,perempuan,0.8272522389882827
0.6,laki-laki,0.5692670958984157
1.0,laki-laki,0.9818160251566613
0.75,perempuan,0.6442759921271878
0.95,laki-laki,0.8602106933918342
0.18333333333333332,perempuan,0.2533205329954068
0.4,laki-laki,0.6465489889826052
0.9833333333333333,perempuan,0.5704035943261244
0.6166666666666667,laki-laki,0.5294896509286124
0.6666666666666666,laki-laki,0.7897477908738969
0.25,perempuan,0.2908249811097927
0.7166666666666667,perempuan,0.8192967499943221
0.7166666666666667,perempuan,0.6795074433861562
0.26666666666666666,perempuan,0.4544807546998406
0.4166666666666667,laki-laki,0.5283531525009039
0.6666666666666666,laki-laki,0.5783590833200852
0.2,laki-laki,0.39538283645899
0.35,laki-laki,0.42265879872399803
0.16666666666666666,perempuan,0.28855198425437556
0.05,laki-laki,0.27150450783874547
0.6666666666666666,laki-laki,0.721557885211377
0.0,laki-laki,0.21785669676890884
0.45,perempuan,0.5965430581634238
0.11666666666666667,perempuan,0.19535911318226495
0.05,perempuan,0.2635490188447849
1.0,laki-laki,0.6056350455850931
0.6833333333333333,laki-laki,0.7022374119403295
0.7333333333333333,laki-laki,0.7045104087957469
0.7666666666666666,laki-laki,0.6306380109946838
0.7166666666666667,perempuan,0.49880419338047854
0.8666666666666667,laki-laki,0.5954065597357151
0.8333333333333334,laki-laki,0.8113412610003615
0.016666666666666666,perempuan,0.2289402650987865
0.8833333333333333,perempuan,0.9033976336447634
0.03333333333333333,laki-laki,0.08433315835645572
0.7833333333333333,laki-laki,0.5283531525009039
0.6,perempuan,0.5078961808021479
0.95,perempuan,0.7942937845847317
0.8666666666666667,perempuan,0.9011246367893461
0.8666666666666667,perempuan,0.8397537216930783
0.5666666666666667,perempuan,0.7533798411872196
0.65,laki-laki,0.6931454245186602
0.9333333333333333,perempuan,0.8693026808135035
0.06666666666666667,perempuan,0.3771988616156514
0.3833333333333333,laki-laki,0.6010890518742585
0.8333333333333334,perempuan,0.673824951247613
0.5166666666666666,laki-laki,0.6113175377236363
0.7166666666666667,perempuan,0.5579021116213291
0.55,perempuan,0.5328991462117385
0.6666666666666666,laki-laki,0.5226706603623605
0.05,perempuan,0.17035614777267427
0.0,perempuan,0.09686076383970599
0.9,perempuan,0.701100913512621
0.9666666666666667,laki-laki,0.9579495581747793
0.31666666666666665,laki-laki,0.6249555188561403
0.7166666666666667,laki-laki,0.602225550301967
0.016666666666666666,perempuan,0.23578811771124508
0.016666666666666666,perempuan,0.2717812463117646
0.05,perempuan,0.1828576304774696
0.55,laki-laki,0.5806320801755024
0.0,laki-laki,0.10269699930065201
0.016666666666666666,perempuan,0.21974714319809852
0.9666666666666667,laki-laki,0.8806676650905901
0.016666666666666666,laki-laki,0.3303800886784838
0.4166666666666667,laki-laki,0.697691418229495
0.5833333333333334,perempuan,0.5522196194827856
0.6666666666666666,laki-laki,0.49880419338047854
0.5833333333333334,perempuan,0.7170118915005422
0.6333333333333333,laki-laki,0.5897240675971719
